Material,Length,radius,Fratio,R2score
SUS304,0.01,0.001,11,0.9847287450559166
SUS304,0.01,0.001,13,0.9954984889384586
SUS304,0.01,0.001,15,0.9974598014639161
SUS304,0.01,0.001,5,0.965800204232152
SUS304,0.01,0.001,7,0.9664833141011362
SUS304,0.01,0.001,9,0.9781587287674716
SUS304,0.059,0.002,9,0.9948375802929873
SUS304,0.059,0.002,11,0.9953922050591858
SUS304,0.059,0.002,13,0.998212690229566
SUS304,0.059,0.002,15,0.998535409982491
SUS304,0.059,0.002,5,0.9968288206920187
SUS304,0.059,0.002,7,0.9747674235881499
SUS304,0.059,0.003,5,0.9836496564704992
SUS304,0.059,0.003,7,0.9918659756216516
SUS304,0.059,0.003,9,0.9889963098753687
SUS304,0.059,0.003,11,0.990307423139588
SUS304,0.059,0.003,13,0.9971904298024001
SUS304,0.059,0.003,15,0.9981771818892398
SUS304,0.059,0.004,11,0.9939833861815611
SUS304,0.059,0.004,13,0.994750401667145
SUS304,0.059,0.004,15,0.9969596508925987
SUS304,0.059,0.004,5,0.9721594931081766
SUS304,0.059,0.004,7,0.9435550354141565
SUS304,0.059,0.004,9,0.9835544027924942
SUS304,0.059,0.005,5,0.9624713294755538
SUS304,0.059,0.005,7,0.9679866814613933
SUS304,0.059,0.005,9,0.9753557133817711
SUS304,0.059,0.005,11,0.9786888442278129
SUS304,0.059,0.005,13,0.9923515816959237
SUS304,0.059,0.005,15,0.9930390026375728
SUS304,0.108,0.003,5,0.9858609522450071
SUS304,0.108,0.003,7,0.9966361796182147
SUS304,0.108,0.003,9,0.9987490031278407
SUS304,0.108,0.003,11,0.9986050086351181
SUS304,0.108,0.003,13,0.9990111305661227
SUS304,0.108,0.003,15,0.9984195671066528
SUS304,0.108,0.004,5,0.9377338193043965
SUS304,0.108,0.004,7,0.9883980703439429
SUS304,0.108,0.004,9,0.9967780306880645
SUS304,0.108,0.004,11,0.9987258295486766
SUS304,0.108,0.004,13,0.999108175218016
SUS304,0.108,0.004,15,0.9990623605514721
SUS304,0.108,0.005,9,0.9951949399115919
SUS304,0.108,0.005,11,0.998115406803932
SUS304,0.108,0.005,13,0.9986592948943774
SUS304,0.108,0.005,15,0.9990409433594212
SUS304,0.108,0.005,5,0.8817705831101049
SUS304,0.108,0.005,7,0.9875381048057706
SUS304,0.108,0.006,7,0.98288301467404
SUS304,0.108,0.006,9,0.9962753431224487
SUS304,0.108,0.006,11,0.9981559595366954
SUS304,0.108,0.006,13,0.9981349303884771
SUS304,0.108,0.006,15,0.99937412103034
SUS304,0.108,0.006,5,0.9518248977957523
SUS304,0.108,0.007,5,0.9434641851220045
SUS304,0.108,0.007,7,0.9657066195331127
SUS304,0.108,0.007,9,0.9921132527768424
SUS304,0.108,0.007,11,0.9959283488386576
SUS304,0.108,0.007,13,0.9969867346536676
SUS304,0.108,0.007,15,0.9983974752939786
SUS304,0.108,0.008,5,0.9064557446078452
SUS304,0.108,0.008,7,0.9559889109532189
SUS304,0.108,0.008,9,0.9826691985036041
SUS304,0.108,0.008,11,0.99566972537834
SUS304,0.108,0.008,13,0.9984399724512929
SUS304,0.108,0.008,15,0.9980479193603565
SUS304,0.108,0.009,5,0.6727849501214334
SUS304,0.108,0.009,7,0.9592780088883253
SUS304,0.108,0.009,9,0.9898562304320675
SUS304,0.108,0.009,11,0.9900447380995403
SUS304,0.108,0.009,13,0.9967453784792728
SUS304,0.108,0.009,15,0.9980033419646835
SUS304,0.108,0.01,13,0.9944322105263512
SUS304,0.108,0.01,15,0.9979402906015219
SUS304,0.108,0.01,5,0.8732771704046839
SUS304,0.108,0.01,7,0.960203253429432
SUS304,0.108,0.01,9,0.9895149700900091
SUS304,0.108,0.01,11,0.9931677608158199
SUS304,0.157,0.004,5,0.9551854171815063
SUS304,0.157,0.004,7,0.9859311917827241
SUS304,0.157,0.004,9,0.9743868718607057
SUS304,0.157,0.004,11,0.9915148093233341
SUS304,0.157,0.004,13,0.9973458502548408
SUS304,0.157,0.004,15,0.997911379084252
SUS304,0.157,0.005,13,0.9929526167929758
SUS304,0.157,0.005,15,0.9975158257888592
SUS304,0.157,0.005,5,0.9225264731186801
SUS304,0.157,0.005,7,0.9700836535318905
SUS304,0.157,0.005,9,0.9796354012430296
SUS304,0.157,0.005,11,0.9828719201879693
SUS304,0.157,0.006,9,0.9717590627425092
SUS304,0.157,0.006,11,0.993335064205728
SUS304,0.157,0.006,13,0.9938953581133265
SUS304,0.157,0.006,15,0.9960490770996622
SUS304,0.157,0.006,5,0.9438464785362732
SUS304,0.157,0.006,7,0.9416248022060526
SUS304,0.157,0.007,5,0.9239286022344513
SUS304,0.157,0.007,7,0.9113208050356293
SUS304,0.157,0.007,9,0.9700116513034216
SUS304,0.157,0.007,11,0.9899326623227068
SUS304,0.157,0.007,13,0.9923780755547835
SUS304,0.157,0.007,15,0.9952796043419899
SUS304,0.157,0.008,5,0.8538591564631228
SUS304,0.157,0.008,7,0.91917437258923
SUS304,0.157,0.008,9,0.9865874108665157
SUS304,0.157,0.008,11,0.969020117729355
SUS304,0.157,0.008,13,0.9825019257043286
SUS304,0.157,0.008,15,0.9899920436622863
SUS304,0.157,0.009,5,0.835455461112625
SUS304,0.157,0.009,7,0.9126885276705481
SUS304,0.157,0.009,9,0.9715677871384524
SUS304,0.157,0.009,11,0.9692602314910294
SUS304,0.157,0.009,13,0.9821040064925294
SUS304,0.157,0.009,15,0.9973257362344068
SUS304,0.157,0.01,5,0.782038435018555
SUS304,0.157,0.01,7,0.929446050426416
SUS304,0.157,0.01,9,0.8860503435209778
SUS304,0.157,0.01,11,0.9799105875858665
SUS304,0.157,0.01,13,0.9681899951326657
SUS304,0.157,0.01,15,0.9790627599550645
SUS304,0.206,0.005,5,0.9843492699478403
SUS304,0.206,0.005,7,0.9858843712486199
SUS304,0.206,0.005,9,0.9918501619989013
SUS304,0.206,0.005,11,0.9910087890880153
SUS304,0.206,0.005,13,0.9960874403461136
SUS304,0.206,0.005,15,0.9951761684237849
SUS304,0.206,0.006,11,0.9896925626769025
SUS304,0.206,0.006,13,0.9938373088994958
SUS304,0.206,0.006,15,0.9971412899971375
SUS304,0.206,0.006,5,0.945099836121757
SUS304,0.206,0.006,7,0.98720424721033
SUS304,0.206,0.006,9,0.9891009617420685
SUS304,0.206,0.007,7,0.9767032195447009
SUS304,0.206,0.007,9,0.9890133892659495
SUS304,0.206,0.007,11,0.9842320617995376
SUS304,0.206,0.007,13,0.9950915356380812
SUS304,0.206,0.007,15,0.9943575227125222
SUS304,0.206,0.007,5,0.9443863561488869
SUS304,0.206,0.008,5,0.9068598340030367
SUS304,0.206,0.008,7,0.9515002323610566
SUS304,0.206,0.008,9,0.9719957298583395
SUS304,0.206,0.008,11,0.9867509121003832
SUS304,0.206,0.008,13,0.9917782898872473
SUS304,0.206,0.008,15,0.9932134487764624
SUS304,0.206,0.009,5,0.9159217821301994
SUS304,0.206,0.009,7,0.9395553243958419
SUS304,0.206,0.009,9,0.9790710066201636
SUS304,0.206,0.009,11,0.9921730328722144
SUS304,0.206,0.009,13,0.9902824479379527
SUS304,0.206,0.009,15,0.9958779516676795
SUS304,0.206,0.01,5,0.9091372585286852
SUS304,0.206,0.01,7,0.9478242198171257
SUS304,0.206,0.01,9,0.9696135743910477
SUS304,0.206,0.01,11,0.9867028983518907
SUS304,0.206,0.01,13,0.9898215199944312
SUS304,0.206,0.01,15,0.9958391462575046
SUS304,0.255,0.006,13,0.9957026181883019
SUS304,0.255,0.006,15,0.9968855744486929
SUS304,0.255,0.006,5,0.9899249203847637
SUS304,0.255,0.006,7,0.9862904140020484
SUS304,0.255,0.006,9,0.9900057814838016
SUS304,0.255,0.006,11,0.99581203138599
SUS304,0.255,0.007,9,0.9906035506073789
SUS304,0.255,0.007,11,0.9954862239871802
SUS304,0.255,0.007,13,0.9967979023092753
SUS304,0.255,0.007,15,0.9971754966984236
SUS304,0.255,0.007,5,0.975041037709736
SUS304,0.255,0.007,7,0.9921113175484111
SUS304,0.255,0.008,7,0.9733952955068763
SUS304,0.255,0.008,9,0.9881400247353126
SUS304,0.255,0.008,11,0.9971249999812558
SUS304,0.255,0.008,13,0.9958883430465648
SUS304,0.255,0.008,15,0.9971933451263448
SUS304,0.255,0.008,5,0.9519019501001729
SUS304,0.255,0.009,5,0.9589055990764487
SUS304,0.255,0.009,7,0.9870190296651389
SUS304,0.255,0.009,9,0.9831087455839651
SUS304,0.255,0.009,11,0.9922652537114157
SUS304,0.255,0.009,13,0.9953819057294746
SUS304,0.255,0.009,15,0.9984087774418857
SUS304,0.255,0.01,5,0.9708138954442694
SUS304,0.255,0.01,7,0.9790426021459716
SUS304,0.255,0.01,9,0.9779889238760908
SUS304,0.255,0.01,11,0.9948088925894044
SUS304,0.255,0.01,13,0.9951315659556015
SUS304,0.255,0.01,15,0.9971792440701673
SUS304,0.304,0.007,11,0.9958026890885638
SUS304,0.304,0.007,13,0.9966416480521099
SUS304,0.304,0.007,15,0.9971413875756663
SUS304,0.304,0.007,5,0.9880245808778112
SUS304,0.304,0.007,7,0.9897497492057006
SUS304,0.304,0.007,9,0.9908428432648853
SUS304,0.304,0.008,7,0.9934266087866687
SUS304,0.304,0.008,9,0.9933994517876147
SUS304,0.304,0.008,11,0.9958940878327295
SUS304,0.304,0.008,13,0.9969440215474872
SUS304,0.304,0.008,15,0.9977091048370098
SUS304,0.304,0.008,5,0.9742929216270424
SUS304,0.304,0.009,5,0.9760666399963893
SUS304,0.304,0.009,7,0.9906123521156496
SUS304,0.304,0.009,9,0.993477182848836
SUS304,0.304,0.009,11,0.9936596300060456
SUS304,0.304,0.009,13,0.9981355866723258
SUS304,0.304,0.009,15,0.9977527556164469
SUS304,0.304,0.01,5,0.9773256645498041
SUS304,0.304,0.01,7,0.9908671604738538
SUS304,0.304,0.01,9,0.9963988469328348
SUS304,0.304,0.01,11,0.9931132951861761
SUS304,0.304,0.01,13,0.9969239334172695
SUS304,0.304,0.01,15,0.9969222450419084
SUS304,0.353,0.008,9,0.9969680747081027
SUS304,0.353,0.008,11,0.9961581987041355
SUS304,0.353,0.008,13,0.9978864172261084
SUS304,0.353,0.008,15,0.9967260169856704
SUS304,0.353,0.008,5,0.9889140386193119
SUS304,0.353,0.008,7,0.9962551238798362
SUS304,0.353,0.009,5,0.9849273524264979
SUS304,0.353,0.009,7,0.9905832200914859
SUS304,0.353,0.009,9,0.9946183577278924
SUS304,0.353,0.009,11,0.9961399535824537
SUS304,0.353,0.009,13,0.9979676308510337
SUS304,0.353,0.009,15,0.9975300098525287
SUS304,0.353,0.01,5,0.9875180264579017
SUS304,0.353,0.01,7,0.9915178507928025
SUS304,0.353,0.01,9,0.9949539747047534
SUS304,0.353,0.01,11,0.9951991599069965
SUS304,0.353,0.01,13,0.9967017511191661
SUS304,0.353,0.01,15,0.9977358601981493
SUS304,0.402,0.009,7,0.9938031579326266
SUS304,0.402,0.009,9,0.9955000900480538
SUS304,0.402,0.009,11,0.9985412656985748
SUS304,0.402,0.009,13,0.9969085690117513
SUS304,0.402,0.009,15,0.996468966437887
SUS304,0.402,0.009,5,0.9897988227664489
SUS304,0.402,0.01,5,0.9927510435990987
SUS304,0.402,0.01,7,0.9949584093784173
SUS304,0.402,0.01,9,0.9935993631902003
SUS304,0.402,0.01,11,0.9978376320638175
SUS304,0.402,0.01,13,0.9979082997842653
SUS304,0.402,0.01,15,0.9975040315117312
SUS304,0.451,0.01,5,0.994477271388477
SUS304,0.451,0.01,7,0.9962915645421622
SUS304,0.451,0.01,9,0.9958878195871748
SUS304,0.451,0.01,11,0.9983295149937056
SUS304,0.451,0.01,13,0.9978513645652527
SUS304,0.451,0.01,15,0.9970869416985757
SUS304,0.5,0.01,7,0.9960959677023694
SUS304,0.5,0.01,9,0.9978767455778116
SUS304,0.5,0.01,11,0.9976642347650513
SUS304,0.5,0.01,13,0.9979630913806825
SUS304,0.5,0.01,15,0.9951884862452308
SUS304,0.5,0.01,5,0.994640324268743
NiTi,0.01,0.001,5,0.965800204232152
NiTi,0.01,0.001,7,0.9664833141011362
NiTi,0.01,0.001,9,0.9781587287674716
NiTi,0.01,0.001,11,0.9847287450559166
NiTi,0.01,0.001,13,0.9954984889384586
NiTi,0.01,0.001,15,0.9974598014639161
NiTi,0.059,0.002,5,0.9968288206920187
NiTi,0.059,0.002,7,0.9747674235881499
NiTi,0.059,0.002,9,0.9948375802929873
NiTi,0.059,0.002,11,0.9953922050591858
NiTi,0.059,0.002,13,0.998212690229566
NiTi,0.059,0.002,15,0.998535409982491
NiTi,0.059,0.003,7,0.9918659756216516
NiTi,0.059,0.003,9,0.9889963098753687
NiTi,0.059,0.003,11,0.990307423139588
NiTi,0.059,0.003,13,0.9971904298024001
NiTi,0.059,0.003,15,0.9981771818892398
NiTi,0.059,0.003,5,0.9836496564704992
NiTi,0.059,0.004,5,0.9721594931081766
NiTi,0.059,0.004,7,0.9435550354141565
NiTi,0.059,0.004,9,0.9835544027924942
NiTi,0.059,0.004,11,0.9939833861815611
NiTi,0.059,0.004,13,0.994750401667145
NiTi,0.059,0.004,15,0.9969596508925987
NiTi,0.059,0.005,15,0.9930390026375728
NiTi,0.059,0.005,5,0.9624713294755538
NiTi,0.059,0.005,7,0.9679866814613933
NiTi,0.059,0.005,9,0.9753557133817711
NiTi,0.059,0.005,11,0.9786888442278129
NiTi,0.059,0.005,13,0.9923515816959237
NiTi,0.108,0.003,13,0.9990111305661227
NiTi,0.108,0.003,15,0.9984195671066528
NiTi,0.108,0.003,5,0.9858609522450071
NiTi,0.108,0.003,7,0.9966361796182147
NiTi,0.108,0.003,9,0.9987490031278407
NiTi,0.108,0.003,11,0.9986050086351181
NiTi,0.108,0.004,5,0.9377338193043965
NiTi,0.108,0.004,7,0.9883980703439429
NiTi,0.108,0.004,9,0.9967780306880645
NiTi,0.108,0.004,11,0.9987258295486766
NiTi,0.108,0.004,13,0.999108175218016
NiTi,0.108,0.004,15,0.9990623605514721
NiTi,0.108,0.005,5,0.8817705831101049
NiTi,0.108,0.005,7,0.9875381048057706
NiTi,0.108,0.005,9,0.9951949399115919
NiTi,0.108,0.005,11,0.998115406803932
NiTi,0.108,0.005,13,0.9986592948943774
NiTi,0.108,0.005,15,0.9990409433594212
NiTi,0.108,0.006,15,0.99937412103034
NiTi,0.108,0.006,5,0.9518248977957523
NiTi,0.108,0.006,7,0.98288301467404
NiTi,0.108,0.006,9,0.9962753431224487
NiTi,0.108,0.006,11,0.9981559595366954
NiTi,0.108,0.006,13,0.9981349303884771
NiTi,0.108,0.007,11,0.9959283488386576
NiTi,0.108,0.007,13,0.9969867346536676
NiTi,0.108,0.007,15,0.9983974752939786
NiTi,0.108,0.007,5,0.9434641851220045
NiTi,0.108,0.007,7,0.9657066195331127
NiTi,0.108,0.007,9,0.9921132527768424
NiTi,0.108,0.008,7,0.9559889109532189
NiTi,0.108,0.008,9,0.9826691985036041
NiTi,0.108,0.008,11,0.99566972537834
NiTi,0.108,0.008,13,0.9984399724512929
NiTi,0.108,0.008,15,0.9980479193603565
NiTi,0.108,0.008,5,0.9064557446078452
NiTi,0.108,0.009,5,0.6727849501214334
NiTi,0.108,0.009,7,0.9592780088883253
NiTi,0.108,0.009,9,0.9898562304320675
NiTi,0.108,0.009,11,0.9900447380995403
NiTi,0.108,0.009,13,0.9967453784792728
NiTi,0.108,0.009,15,0.9980033419646835
NiTi,0.108,0.01,5,0.8732771704046839
NiTi,0.108,0.01,7,0.960203253429432
NiTi,0.108,0.01,9,0.9895149700900091
NiTi,0.108,0.01,11,0.9931677608158199
NiTi,0.108,0.01,13,0.9944322105263512
NiTi,0.108,0.01,15,0.9979402906015219
NiTi,0.157,0.004,9,0.9743868718607057
NiTi,0.157,0.004,11,0.9915148093233341
NiTi,0.157,0.004,13,0.9973458502548408
NiTi,0.157,0.004,15,0.997911379084252
NiTi,0.157,0.004,5,0.9551854171815063
NiTi,0.157,0.004,7,0.9859311917827241
NiTi,0.157,0.005,5,0.9225264731186801
NiTi,0.157,0.005,7,0.9700836535318905
NiTi,0.157,0.005,9,0.9796354012430296
NiTi,0.157,0.005,11,0.9828719201879693
NiTi,0.157,0.005,13,0.9929526167929758
NiTi,0.157,0.005,15,0.9975158257888592
NiTi,0.157,0.006,5,0.9438464785362732
NiTi,0.157,0.006,7,0.9416248022060526
NiTi,0.157,0.006,9,0.9717590627425092
NiTi,0.157,0.006,11,0.993335064205728
NiTi,0.157,0.006,13,0.9938953581133265
NiTi,0.157,0.006,15,0.9960490770996622
NiTi,0.157,0.007,15,0.9952796043419899
NiTi,0.157,0.007,5,0.9239286022344513
NiTi,0.157,0.007,7,0.9113208050356293
NiTi,0.157,0.007,9,0.9700116513034216
NiTi,0.157,0.007,11,0.9899326623227068
NiTi,0.157,0.007,13,0.9923780755547835
NiTi,0.157,0.008,9,0.9865874108665157
NiTi,0.157,0.008,11,0.969020117729355
NiTi,0.157,0.008,13,0.9825019257043286
NiTi,0.157,0.008,15,0.9899920436622863
NiTi,0.157,0.008,5,0.8538591564631228
NiTi,0.157,0.008,7,0.91917437258923
NiTi,0.157,0.009,7,0.9126885276705481
NiTi,0.157,0.009,9,0.9715677871384524
NiTi,0.157,0.009,11,0.9692602314910294
NiTi,0.157,0.009,13,0.9821040064925294
NiTi,0.157,0.009,15,0.9973257362344068
NiTi,0.157,0.009,5,0.835455461112625
NiTi,0.157,0.01,5,0.782038435018555
NiTi,0.157,0.01,7,0.929446050426416
NiTi,0.157,0.01,9,0.8860503435209778
NiTi,0.157,0.01,11,0.9799105875858665
NiTi,0.157,0.01,13,0.9681899951326657
NiTi,0.157,0.01,15,0.9790627599550645
NiTi,0.206,0.005,5,0.9843492699478403
NiTi,0.206,0.005,7,0.9858843712486199
NiTi,0.206,0.005,9,0.9918501619989013
NiTi,0.206,0.005,11,0.9910087890880153
NiTi,0.206,0.005,13,0.9960874403461136
NiTi,0.206,0.005,15,0.9951761684237849
NiTi,0.206,0.006,5,0.945099836121757
NiTi,0.206,0.006,7,0.98720424721033
NiTi,0.206,0.006,9,0.9891009617420685
NiTi,0.206,0.006,11,0.9896925626769025
NiTi,0.206,0.006,13,0.9938373088994958
NiTi,0.206,0.006,15,0.9971412899971375
NiTi,0.206,0.007,5,0.9443863561488869
NiTi,0.206,0.007,7,0.9767032195447009
NiTi,0.206,0.007,9,0.9890133892659495
NiTi,0.206,0.007,11,0.9842320617995376
NiTi,0.206,0.007,13,0.9950915356380812
NiTi,0.206,0.007,15,0.9943575227125222
NiTi,0.206,0.008,13,0.9917782898872473
NiTi,0.206,0.008,15,0.9932134487764624
NiTi,0.206,0.008,5,0.9068598340030367
NiTi,0.206,0.008,7,0.9515002323610566
NiTi,0.206,0.008,9,0.9719957298583395
NiTi,0.206,0.008,11,0.9867509121003832
NiTi,0.206,0.009,9,0.9790710066201636
NiTi,0.206,0.009,11,0.9921730328722144
NiTi,0.206,0.009,13,0.9902824479379527
NiTi,0.206,0.009,15,0.9958779516676795
NiTi,0.206,0.009,5,0.9159217821301994
NiTi,0.206,0.009,7,0.9395553243958419
NiTi,0.206,0.01,7,0.9478242198171257
